metric,factor,group1,group2,n1,n2,p_raw,p_holm,cliff_delta,magnitude
num_tests,model,ai-1,ai-2,30,30,0.0000,0.0000,1.000,grande
num_tests,model,ai-1,ai-3,30,30,0.0000,0.0000,1.000,grande
num_tests,model,ai-2,ai-3,30,30,0.0057,0.0057,0.413,médio
line_coverage,model,ai-1,ai-2,30,30,0.0000,0.0000,0.913,grande
line_coverage,model,ai-1,ai-3,30,30,0.0000,0.0000,0.933,grande
line_coverage,model,ai-2,ai-3,30,30,0.0000,0.0000,0.791,grande
branch_coverage,model,ai-1,ai-2,30,30,0.0000,0.0000,0.993,grande
branch_coverage,model,ai-1,ai-3,30,30,0.0000,0.0000,0.997,grande
branch_coverage,model,ai-2,ai-3,30,30,0.0000,0.0000,0.700,grande
mutation_score,model,ai-1,ai-2,29,28,0.0000,0.0000,-0.863,grande
mutation_score,model,ai-1,ai-3,29,26,0.8594,0.8594,-0.029,desprezível
mutation_score,model,ai-2,ai-3,28,26,0.0000,0.0000,0.790,grande
golden_passed,model,ai-1,ai-2,30,30,0.0005,0.0005,0.404,médio
golden_passed,model,ai-1,ai-3,30,30,0.0000,0.0000,0.933,grande
golden_passed,model,ai-2,ai-3,30,30,0.0000,0.0000,0.679,grande
own_fail_ratio,model,ai-1,ai-2,30,30,0.0668,0.0668,0.242,pequeno
own_fail_ratio,model,ai-1,ai-3,30,30,0.0000,0.0000,-0.794,grande
own_fail_ratio,model,ai-2,ai-3,30,30,0.0000,0.0000,-0.813,grande
smell_ratio,model,ai-1,ai-2,30,30,0.0014,0.0041,0.300,pequeno
smell_ratio,model,ai-1,ai-3,30,30,0.0014,0.0041,0.300,pequeno
smell_ratio,model,ai-2,ai-3,30,30,1.0000,1.0000,0.000,desprezível
num_tests,prompt_level,basic,intermediate,30,30,0.2291,0.2291,-0.181,pequeno
num_tests,prompt_level,basic,complete,30,30,0.0015,0.0046,-0.476,grande
num_tests,prompt_level,intermediate,complete,30,30,0.0050,0.0101,-0.422,médio
line_coverage,prompt_level,basic,intermediate,30,30,1.0000,1.0000,-0.001,desprezível
line_coverage,prompt_level,basic,complete,30,30,0.1293,0.2587,-0.229,pequeno
line_coverage,prompt_level,intermediate,complete,30,30,0.0450,0.1349,-0.302,pequeno
branch_coverage,prompt_level,basic,intermediate,30,30,0.3543,0.4151,-0.140,desprezível
branch_coverage,prompt_level,basic,complete,30,30,0.0400,0.1201,-0.309,pequeno
branch_coverage,prompt_level,intermediate,complete,30,30,0.2075,0.4151,-0.190,pequeno
mutation_score,prompt_level,basic,intermediate,25,29,0.3622,0.7244,-0.146,desprezível
mutation_score,prompt_level,basic,complete,25,29,0.1446,0.4339,-0.233,pequeno
mutation_score,prompt_level,intermediate,complete,29,29,0.5439,0.7244,-0.094,desprezível
golden_passed,prompt_level,basic,intermediate,30,30,0.0954,0.2863,0.232,pequeno
golden_passed,prompt_level,basic,complete,30,30,0.9071,0.9071,0.017,desprezível
golden_passed,prompt_level,intermediate,complete,30,30,0.1755,0.3511,-0.190,pequeno
own_fail_ratio,prompt_level,basic,intermediate,30,30,0.4228,0.4228,-0.108,desprezível
own_fail_ratio,prompt_level,basic,complete,30,30,0.0010,0.0030,-0.481,grande
own_fail_ratio,prompt_level,intermediate,complete,30,30,0.0093,0.0187,-0.386,médio
smell_ratio,prompt_level,basic,intermediate,30,30,0.2487,0.7139,-0.098,desprezível
smell_ratio,prompt_level,basic,complete,30,30,0.9864,0.9864,0.002,desprezível
smell_ratio,prompt_level,intermediate,complete,30,30,0.2380,0.7139,0.100,desprezível
num_tests,prompt_within_ai-1,KW,,,,,0.0000,,
num_tests,prompt_within_ai-2,KW,,,,,0.0001,,
num_tests,prompt_within_ai-3,KW,,,,,0.0048,,
line_coverage,prompt_within_ai-1,KW,,,,,0.2270,,
line_coverage,prompt_within_ai-2,KW,,,,,0.0003,,
line_coverage,prompt_within_ai-3,KW,,,,,0.0966,,
branch_coverage,prompt_within_ai-1,KW,,,,,0.2558,,
branch_coverage,prompt_within_ai-2,KW,,,,,0.0014,,
branch_coverage,prompt_within_ai-3,KW,,,,,0.0405,,
mutation_score,prompt_within_ai-1,KW,,,,,0.9471,,
mutation_score,prompt_within_ai-2,KW,,,,,0.0002,,
mutation_score,prompt_within_ai-3,KW,,,,,0.0168,,
golden_passed,prompt_within_ai-1,KW,,,,,0.1260,,
golden_passed,prompt_within_ai-2,KW,,,,,0.0843,,
golden_passed,prompt_within_ai-3,KW,,,,,0.3206,,
own_fail_ratio,prompt_within_ai-1,KW,,,,,0.0014,,
own_fail_ratio,prompt_within_ai-2,KW,,,,,0.0002,,
own_fail_ratio,prompt_within_ai-3,KW,,,,,0.2183,,
smell_ratio,prompt_within_ai-1,KW,,,,,0.2887,,
smell_ratio,prompt_within_ai-2,KW,,,,,nan,,
smell_ratio,prompt_within_ai-3,KW,,,,,nan,,
num_tests,SRH,model/prompt/interaction,,,,,,,pmodel=0.0000;pprompt=0.0017;pinter=0.8759
line_coverage,SRH,model/prompt/interaction,,,,,,,pmodel=0.0000;pprompt=0.1219;pinter=0.6734
branch_coverage,SRH,model/prompt/interaction,,,,,,,pmodel=0.0000;pprompt=0.1065;pinter=0.7947
mutation_score,SRH,model/prompt/interaction,,,,,,,pmodel=0.0000;pprompt=0.3287;pinter=0.0494
golden_passed,SRH,model/prompt/interaction,,,,,,,pmodel=0.0000;pprompt=0.2628;pinter=0.7906
own_fail_ratio,SRH,model/prompt/interaction,,,,,,,pmodel=0.0000;pprompt=0.0030;pinter=0.4852
smell_ratio,SRH,model/prompt/interaction,,,,,,,pmodel=0.0692;pprompt=0.7481;pinter=0.8845
