ID,Group,Tests,TestExecutions,TestExecutionsCoverage,DebuggerUses,Levels,FailedGoldenTests,PassedGoldenTests,Grade,FailedOwnTests,RatioTestFailed,LineCoverage,BranchCoverage,MutationScore,Testing,Main,TestSmells,RatioTestSmells,Notifications,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
55,Control,19,45,0,0,6,2,58,27,0,0,0.90625,0.5,11.11,1,1,0,0,73,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,63,0,0,0,0,2,0,0,0,65,0,0,0,0,0,0,0,94,49,0,2,0,0,2,0,45
56,Control,40,58,0,12,10,7,53,24,3,0.075,0.966101694915254,0.846153846153846,62.3,1,0,0,0,100,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,1,40,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,12,145,58,0,4,0,0,4,0,84
57,Control,3,42,0,0,4,28,32,24,0,0,0.982456140350877,0.777777777777778,49.26,1,1,8,2.66666666666667,117,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,17,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,110,83,0,4,0,0,4,0,55
58,Control,0,0,0,0,1,20,40,27,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59,Control,12,49,0,7,8,5,55,21,2,0.166666666666667,0.923076923076923,0.266666666666667,34.74,1,0,0,0,85,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,13,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,7,49,52,0,5,0,0,5,0,9
60,Control,0,0,0,0,0,30,30,24,0,0,0.885714285714286,0.444444444444444,45.56,0,1,0,0,45,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,19,25,0,0,0,0,0,0,14
61,Control,1,0,0,0,0,28,26,33,0,0,0.953488372093023,0.888888888888889,75.49,1,1,0,0,15,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,Control,1,6,0,0,2,28,32,30,1,1,0.9,0.333333333333333,39.56,1,1,0,0,84,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,11,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,1,54,54,0,3,0,0,3,0,4
63,Control,0,0,0,0,0,137,26,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
64,Control,4,6,0,0,4,1,59,24,0,0,0.769230769230769,0.181818181818182,13.41,1,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,4
65,Control,11,25,0,0,7,14,46,27,1,0.0909090909090909,0.510416666666667,0.333333333333333,21.15,1,1,0,0,48,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,14,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,9
66,Control,23,35,0,0,6,4,56,30,2,0.0869565217391304,0.930232558139535,0.76,30.69,1,1,0,0,57,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,31,35,0,0,0,0,0,0,20
67,Control,0,0,0,0,0,30,30,27,0,0,0.911111111111111,0.6875,53.85,0,1,0,0,54,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,40,26,0,4,0,0,4,0,28
68,Control,9,42,0,7,6,12,48,24,1,0.111111111111111,0.857142857142857,0.545454545454545,24.53,1,1,0,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,9,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,7,42,42,0,7,0,0,7,0,14
69,Control,10,0,0,0,3,32,28,18,0,0,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Control,50,37,0,0,7,3,57,27,0,0,0.954545454545455,0.866666666666667,71.91,1,1,0,0,52,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,441,37,0,0,0,0,0,0,67
71,Control,5,35,1,0,5,25,35,30,1,0.2,0.823529411764706,0.181818181818182,14.81,1,1,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,6,2,2,9,2,0,0,1,0,6,0,0,0,0,0,1,0,35,36,0,9,0,0,9,0,26
72,Control,1,12,0,0,2,34,26,30,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,19,0,1,0,0,1,0,0
73,Control,28,21,0,0,6,11,49,27,0,0,0.970588235294118,0.892857142857143,69.16,1,1,0,0,68,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,37,0,0,0,0,5,0,0,0,37,0,0,0,0,0,0,0,112,41,0,1,0,0,1,0,56
74,Control,0,0,0,0,0,28,26,27,2,0,1,1,51.19,0,1,0,0,74,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,84,45,0,8,0,0,8,0,48
75,Control,1,0,0,0,0,28,26,30,0,0,0.666666666666667,0.181818181818182,0,1,1,0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29,29,0,2,0,0,2,0,4
76,Control,12,20,0,0,5,4,56,24,2,0.166666666666667,0.941176470588235,0.3125,38.1,1,0,0,0,40,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,21,21,0,1,0,0,1,0,2
77,Control,0,0,0,1,1,29,31,30,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,5,0,0
78,Control,19,43,0,0,7,13,47,27,0,0,0.979591836734694,0.823529411764706,51.95,1,0,0,0,72,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,93,44,0,3,0,0,3,0,53
79,Control,22,28,0,0,6,3,57,9,0,0,0.985507246376812,0.785714285714286,63.53,1,0,0,0,51,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,24,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,46,30,0,0,0,0,0,0,22
80,Control,8,2,0,0,1,32,28,30,2,0.25,0.971428571428571,0.538461538461538,35.37,1,1,0,0,15,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
81,Control,11,29,0,0,6,6,54,24,0,0,0.885714285714286,0.451612903225806,40.32,1,0,0,0,48,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,15
82,Control,21,0,0,0,3,2,58,27,0,0,0.961538461538462,0.769230769230769,63.22,1,1,0,0,10,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
83,Control,0,0,0,0,0,28,32,21,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,13,0,2,0,0,2,0,4
84,Control,24,46,0,1,7,3,57,30,0,0,0.892307692307692,0.482758620689655,53.17,1,0,0,0,73,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,25,0,0,0,0,3,0,0,0,25,0,0,0,0,0,0,1,73,47,0,0,0,0,0,0,48
85,Control,1,6,2,2,2,25,35,27,0,0,0.571428571428571,0.181818181818182,6.33,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,8,4,0,0,0,0,1,0,0,0,0,0,2,2,4,6,0,0,0,0,0,0,1
86,Control,9,52,0,1,6,6,45,21,0,0,0.866666666666667,0.473684210526316,34.48,1,1,0,0,80,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,27,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,1,38,52,0,2,0,0,2,0,9
87,Control,5,38,0,0,5,26,34,24,1,0.2,0.59375,0.285714285714286,21.35,1,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,38,38,0,3,0,0,3,0,6
88,Control,28,24,0,0,6,6,54,24,0,0,0.86,0.689655172413793,54.21,1,1,0,0,47,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,28,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,68,24,0,0,0,0,0,0,52
89,Control,12,28,0,0,7,4,56,21,1,0.0833333333333333,0.914285714285714,0.476190476190476,42.42,1,0,0,0,54,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,22,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,28,28,0,4,0,0,4,0,16
90,Treatment,25,98,17,17,19,2,58,21,0,0,0.75,0.181818181818182,7.02,1,0,0,0,85,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,2,2,1,0,2,0,0,3,0,2,35,0,60,290,0,0,0,18,0,39,0,0,0,0,0,17,17,142,98,0,111,0,0,111,0,149
91,Treatment,3,0,0,0,1,25,35,24,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Treatment,41,38,0,0,8,5,55,24,3,0.0731707317073171,0.939130434782609,0.794871794871795,50.7,1,0,0,0,74,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,44,0,0,0,0,6,0,0,0,44,0,0,0,0,0,0,0,95,38,0,4,0,0,4,0,68
93,Treatment,12,25,0,0,5,11,49,24,0,0,0.882352941176471,0.4,46.07,1,0,0,0,48,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,28,26,0,2,0,0,2,0,1
94,Treatment,15,42,0,0,6,20,40,30,1,0.0666666666666667,0.792452830188679,0.514285714285714,32.84,1,0,0,0,64,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,62,42,0,0,0,0,0,0,34
95,Treatment,25,249,9,1,13,8,52,21,0,0,0.9375,0.6,73.33,1,1,0,0,54,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,26,77,75,176,63,0,0,1,0,26,0,0,0,0,0,10,1,1576,261,0,0,0,0,0,0,0
96,Treatment,18,90,0,0,7,26,34,27,3,0.166666666666667,0.952380952380952,0.769230769230769,48.15,1,1,0,0,46,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,933,120,0,0,0,0,0,0,4
97,Treatment,5,66,0,0,4,20,40,27,0,0,0.666666666666667,0.407407407407407,23.29,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,158,71,0,0,0,0,0,0,0
98,Treatment,9,2,0,0,3,23,37,27,0,0,0.884615384615385,0.307692307692308,23.81,1,1,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0
99,Treatment,36,81,4,9,14,10,50,21,0,0,0.907692307692308,0.795918367346939,57.81,1,1,0,0,98,1,1,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,40,86,0,131,21,5,0,0,0,40,0,0,0,0,0,4,9,481,81,0,3,0,0,3,0,99
100,Treatment,0,0,0,0,0,28,32,27,0,0,0.909090909090909,0.727272727272727,2.29,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,1,0,0
101,Treatment,6,149,0,0,6,29,31,30,1,0.166666666666667,0.8,0.181818181818182,15.15,1,1,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,194,158,0,0,0,0,0,0,4
102,Treatment,0,0,0,0,0,25,35,21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
103,Treatment,0,0,0,0,0,28,26,24,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,2,2,0,35,0,0,35,0,0
104,Treatment,24,76,3,4,12,8,52,24,0,0,0.987951807228916,0.85,77.78,1,0,0,0,122,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,25,0,14,95,0,7,0,10,0,31,0,0,0,0,0,3,4,103,77,0,4,0,0,4,0,84
105,Treatment,14,61,0,0,6,2,58,24,0,0,0.833333333333333,0.181818181818182,11.76,1,1,0,0,13,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,489,61,0,0,0,0,0,0,1
106,Treatment,16,44,0,0,7,15,45,24,2,0.125,0.9375,0.615384615384615,52.08,1,0,0,0,73,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,64,45,0,1,0,0,1,0,33
107,Treatment,0,0,0,0,0,16,37,27,0,0,0.977777777777778,0.833333333333333,44.19,0,1,0,0,60,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,22,0,0,0,0,8,0,0,0,22,0,0,0,0,0,0,0,127,28,0,1,0,0,1,0,116
108,Treatment,17,47,11,0,11,7,53,21,2,0.117647058823529,0.901234567901235,0.578947368421053,55.15,1,0,0,0,83,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,17,0,47,266,0,2,0,11,0,17,0,0,0,0,0,13,0,68,49,0,5,0,0,5,0,45
109,Treatment,26,27,0,1,7,14,28,30,4,0.153846153846154,0.941176470588235,0.727272727272727,25.86,1,0,0,0,54,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,27,0,0,0,0,8,0,0,0,27,0,0,0,0,0,0,1,71,27,0,1,0,0,1,0,23
110,Treatment,10,25,0,1,6,15,45,27,2,0.2,0.661016949152542,0.575757575757576,21.25,1,0,0,0,49,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,26,26,0,1,0,0,1,0,12
111,Treatment,11,33,2,0,7,7,53,27,0,0,0.918367346938776,0.266666666666667,43.59,1,0,4,0.363636363636364,61,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,0,0,0,0,3,0,0,0,10,0,0,0,0,0,2,0,29,35,0,0,0,0,0,0,9
112,Treatment,38,45,0,2,11,6,54,24,2,0.0526315789473684,0.880952380952381,0.833333333333333,61.86,1,0,0,0,83,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,2,45,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,2,113,45,0,11,0,0,11,0,121
113,Treatment,12,9,0,0,6,19,41,27,3,0.25,0.961538461538462,0.761904761904762,39.33,1,1,0,0,28,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,13,10,0,1,0,0,1,0,12
114,Treatment,19,97,1,5,10,3,57,27,0,0,0.978723404255319,0.722222222222222,56.57,1,0,0,0,103,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,19,21,20,76,20,8,0,2,0,19,0,0,0,0,0,2,5,650,107,0,6,0,0,6,0,32
115,Treatment,11,69,0,0,10,5,55,24,2,0.181818181818182,0.951612903225807,0.4,51.76,1,0,0,0,106,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,11,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,69,69,0,14,0,0,14,0,158
