ID,Group,Age,Gender,Occupation,Experience with JavaScript,Experience with Jest,Which OS do you use?,Please specify your level of agreement: [I had enough time to finish implementing the class],Please specify your level of agreement: [I had enough time to finish testing the class],Please specify your level of agreement: [It was easy to implement the target class.],Please specify your level of agreement: [I have produced a good implementation.],Please specify your level of agreement: [I have produced a good test suite.],Please specify your level of agreement: [I am certain my implementation is correct.],Please specify your level of agreement: [The target class was easy to understand.],Please specify your level of agreement: [I actively tested my code.],Please specify your level of agreement: [I wrote tests during development.],Please specify your level of agreement: [I applied TDD.],Please specify your level of agreement: [The achievement system improved my programming behaviour.],Please specify your level of agreement: [The notifications have spurred me on to make progress.],Please specify your level of agreement: [I would also like to use the plugin in everyday programming myself.],Please specify your level of agreement: [The individual achievements were well described and I knew how to achieve them.],Please specify your level of agreement: [The progress of the individual achievements was visible and easy to understand.],Please specify your level of agreement: [The frequency of notifications was good.],Please specify your level of agreement: [The plugin motivated me to test my code better.],Do you have any suggestions on how to improve the plugin?,Which IDEs do you use?,Exam Grade,Approximated grade
1,Control,24,Male,Studente,< 3 months,< 3 months,Windows,Partially disagree,Fully disagree,Neither agree nor disagree,Partially agree,Fully disagree,Fully disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"Webstorm, CLion, Visual Studio, VS Code, Eclipse",27.58,27
2,Control,24,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially disagree,,,,,,,,,VS Code,0,0
3,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Partially disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Partially agree,,,,,,,,,VS Code,0,0
4,Control,28,Male,Student,>= 6 months && < 1 year,< 3 months,Linux,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Fully agree,Fully agree,Partially disagree,,,,,,,,,"IntelliJ, VS Code, Lite XL",31.5,33
5,Control,26,Male,penetration tester / student,>= 3 months && < 6 months,< 3 months,Linux,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"VS Code, vim",20,21
6,Control,30,Male,Master Degree Student,>= 1 year && < 3 years,< 3 months,Windows,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,,,,,,,,,Visual Studio Code,27.7,27
7,Control,24,Male,Student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially disagree,,,,,,,,,"IntelliJ, CLion, VS Code, Eclipse",29.5,30
8,Control,24,Male,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,,,,,,,,,IntelliJ,24.58,24
9,Control,24,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, PyCharm, VS Code",27.58,27
10,Control,22,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,,,,,,,,,"IntelliJ, VS Code",27.73,27
11,Control,23,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Partially agree,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Fully disagree,,,,,,,,,"IntelliJ, CLion, VS Code",25.1,24
12,Control,22,Male,Part-time IT consultant,>= 6 months && < 1 year,< 3 months,MacOS,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Fully agree,Fully agree,,,,,,,,,"Visual Studio, VS Code",27.08,27
13,Control,22,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,,,,,,,,,IntelliJ,28.17,27
14,Control,24,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,,,,,,,,,VS Code,22.5,24
15,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Fully agree,Partially disagree,Partially disagree,Neither agree nor disagree,,,,,,,,,VS Code,26.9,27
16,Control,22,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Partially agree,Fully disagree,,,,,,,,,"PyCharm, CLion, VS Code, Eclipse",29,30
17,Control,24,Male,Student,>= 1 year && < 3 years,< 3 months,Linux,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,,,,,,,,,"IntelliJ, VS Code",8.33,9
18,Control,22,Male,student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, Webstorm, PyCharm, CLion, VS Code, Eclipse",27.1,27
19,Control,28,Male,DevOps Engineer,>= 1 year && < 3 years,< 3 months,MacOS,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Fully disagree,,,,,,,,,"IntelliJ, Webstorm, PyCharm, GoLand, DataGrip",11,12
20,Control,23,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Fully agree,Fully agree,Partially agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, Visual Studio, VS Code, Eclipse",30.5,30
21,Control,23,Male,Studente,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, Visual Studio, Eclipse",22,21
22,Control,23,Male,student,>= 3 months && < 6 months,< 3 months,MacOS,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,,,,,,,,,"IntelliJ, VS Code",29.63,30
23,Control,22,Male,Student,>= 3 years,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, PyCharm, CLion, Visual Studio, VS Code, Eclipse",30.33,30
24,Control,22,Male,Consultant,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Fully agree,Partially disagree,Fully disagree,Partially disagree,,,,,,,,,"Visual Studio, VS Code",18.8,18
25,Control,25,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially agree,,,,,,,,,"IntelliJ, Webstorm, PyCharm, VS Code",25.9,27
26,Control,25,Male,Studente,>= 1 year && < 3 years,< 3 months,MacOS,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"Visual Studio, VS Code, Netbeans, Xcode",21.83,21
27,Control,22,Female,student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,VS Code,29.5,30
28,Control,26,Male,student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,,,,,,,,,"IntelliJ, Webstorm, PyCharm, CLion, VS Code",24.5,24
29,Control,23,Male,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Partially disagree,Fully disagree,,,,,,,,,"IntelliJ, CLion, VS Code, Android Studio",25.5,27
30,Control,24,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Fully agree,Partially agree,Partially agree,Partially disagree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,,,,,,,,,IntelliJ,25,24
31,Control,24,Male,Student,< 3 months,< 3 months,Windows,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,,,,,,,,,"IntelliJ, Visual Studio, VS Code, Eclipse",18.5,18
32,Control,23,Female,Studente lavoratore,>= 6 months && < 1 year,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,,,,,,,,,"PyCharm, VS Code, Eclipse",29,30
33,Control,23,Female,student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, CLion, Visual Studio, VS Code, Eclipse",26.5,27
34,Control,22,Male,studente disoccupato,>= 1 year && < 3 years,< 3 months,Windows,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,,,,,,,,,Visual Studio,21.92,21
35,Control,23,Male,Student,>= 3 years,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Partially disagree,,,,,,,,,VS Code,27.9,27
36,Control,24,Male,student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, VS Code",25.33,24
37,Control,23,Male,student,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,,,,,,,,,VS Code,28.83,30
38,Control,23,Male,Student/Junior Java Developer,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, Eclipse",28.33,27
39,Control,23,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Partially disagree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Fully agree,Partially agree,Partially agree,,,,,,,,,IntelliJ,22.5,24
40,Control,25,Male,student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,"CLion, VS Code",21.32,21
41,Control,24,Female,student,< 3 months,< 3 months,MacOS,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, PyCharm, VS Code",24.4,24
42,Control,24,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, VS Code",27.83,27
43,Control,36,Female,student,>= 3 years,< 3 months,MacOS,Partially agree,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,Visual Studio,23.6,24
44,Control,23,Male,Studente,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,IntelliJ,26,27
45,Control,24,Male,Student,>= 6 months && < 1 year,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Neither agree nor disagree,Fully disagree,Fully disagree,,,,,,,,,Zed,24.63,24
46,Control,25,Male,Student,>= 6 months && < 1 year,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,,,,,,,,,IntelliJ,22.3,21
47,Control,22,Male,Student,< 3 months,< 3 months,MacOS,Partially agree,Partially disagree,Partially disagree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully disagree,,,,,,,,,IntelliJ,25.4,24
48,Control,23,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,,,,,,,,VS Code,24,24
49,Control,26,Female,student,< 3 months,< 3 months,Windows,Partially disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,,,,,,,,,"IntelliJ, Webstorm, CLion, VS Code",22.5,24
50,Control,23,Male,Student,< 3 months,< 3 months,MacOS,Fully agree,Partially disagree,Fully agree,Neither agree nor disagree,Partially disagree,Partially agree,Fully agree,Fully agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, VS Code",26.5,27
51,Control,22,Female,master student,< 3 months,< 3 months,Windows,Fully agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Fully disagree,Partially agree,Neither agree nor disagree,Partially disagree,Fully disagree,Fully disagree,,,,,,,,,"IntelliJ, Webstorm, PyCharm, VS Code",19.8,21
52,Control,22,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"VS Code, RustRover",26.5,27
53,Control,23,Male,Student and professional sportsman,< 3 months,< 3 months,Linux,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully disagree,,,,,,,,,"IntelliJ, Visual Studio",26.2,27
54,Control,25,Female,student,>= 3 months && < 6 months,< 3 months,MacOS,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,,,,,,,,,"PyCharm, CLion, VS Code",25,24
55,Control,26,Male,student,< 3 months,< 3 months,wsl,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,VS Code,26.17,27
56,Control,24,Female,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,IntelliJ,24.09,24
57,Control,22,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Fully agree,Partially disagree,,,,,,,,,"IntelliJ, PyCharm, CLion, Visual Studio, VS Code, Eclipse",27,27
58,Control,23,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,,,,,,,,,IntelliJ,30.33,30
59,Control,23,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,VS Code,31,30
60,Control,22,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Fully disagree,Fully disagree,Neither agree nor disagree,,,,,,,,,IntelliJ,27,27
61,Control,23,Male,Student,< 3 months,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,,,,,,,,,"IntelliJ, VS Code",20.33,21
62,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, PyCharm, CLion, VS Code, Eclipse",26.5,27
63,Control,34,Female,Student,>= 3 years,< 3 months,MacOS,Partially disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Fully disagree,Fully agree,,,,,,,,,"IntelliJ, VS Code",23.6,24
64,Control,22,Male,student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,,,,,,,,,IntelliJ,19.7,21
65,Control,22,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Partially disagree,,,,,,,,,"IntelliJ, VS Code",26,27
66,Control,23,Male,Student,>= 3 years,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,Visual Studio,27.5,27
67,Control,23,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,VS Code,29.83,30
68,Control,24,Male,student,>= 1 year && < 3 years,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Fully disagree,Fully disagree,,,,,,,,,IntelliJ,25,24
69,Control,23,Male,Student,< 3 months,< 3 months,MacOS,Partially agree,Partially disagree,Partially agree,Partially agree,Partially disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,,,,,,,,,"IntelliJ, VS Code",25.9,27
70,Control,26,Male,Studente,< 3 months,< 3 months,Windows,Fully disagree,Fully disagree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, VS Code",26.83,27
71,Control,22,Male,student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,,,,,,,,,IntelliJ,23.83,24
72,Control,23,Female,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,"IntelliJ, PyCharm, VS Code",26.33,27
73,Control,23,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully agree,Partially agree,Neither agree nor disagree,,,,,,,,,"PyCharm, Visual Studio, VS Code",21.3,21
74,Control,21,Female,studentessa,< 3 months,< 3 months,Windows,Fully agree,Partially disagree,Partially agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially disagree,Fully disagree,Neither agree nor disagree,,,,,,,,,IntelliJ,24.5,24
75,Control,25,Male,Security IAM consultant,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Fully disagree,Fully agree,Partially agree,Fully agree,Fully disagree,Fully disagree,,,,,,,,,IntelliJ,27.5,27
76,Control,23,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully disagree,Fully disagree,,,,,,,,,IntelliJ,27.5,27
77,Control,22,Male,Student ,>= 1 year && < 3 years,< 3 months,Linux,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,,,,,,,,,"IntelliJ, PyCharm, Visual Studio, Eclipse",27,27
78,Control,24,Male,Student,>= 6 months && < 1 year,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Fully agree,Fully agree,Fully agree,,,,,,,,,"PyCharm, Visual Studio, VS Code, Eclipse",25.2,24
79,Control,23,Male,Student,>= 1 year && < 3 years,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Partially agree,Fully disagree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully agree,,,,,,,,,VS Code,22.1,21
80,Control,22,Male,student,< 3 months,< 3 months,Windows,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,"IntelliJ, VS Code",29.83,30
81,Control,24,Female,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Partially disagree,Neither agree nor disagree,,,,,,,,,"CLion, Visual Studio, VS Code",25.33,24
82,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially disagree,Fully disagree,Partially disagree,,,,,,,,,VS Code,25,24
83,Control,24,Male,Student,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,,,,,,,,,"IntelliJ, CLion, Visual Studio, VS Code",25.5,27
84,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Partially agree,Partially agree,Fully agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,IntelliJ,28.3,27
85,Control,24,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,,,,,,,,,"PyCharm, Visual Studio, VS Code, Eclipse",27.83,27
86,Control,23,Female,Student,< 3 months,< 3 months,Windows,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially disagree,Neither agree nor disagree,,,,,,,,,VS Code,22.6,24
87,Control,23,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Fully agree,Partially agree,Partially agree,Partially agree,Fully disagree,,,,,,,,,VS Code,26.7,27
88,Control,22,Male,Student,>= 1 year && < 3 years,< 3 months,MacOS,Fully agree,Partially agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,,,,,,,,,IntelliJ,25.8,27
